CustomerId,PLACEMENT,AGE,TENURE,TARIFF,REV_1,REV_2,REV_3,REV_4,REV_5,REV_6,REV_T,MOU_TOT_1,MOU_TOT_2,MOU_TOT_3,MOU_TOT_4,MOU_TOT_5,MOU_TOT_6,NCLL_1,NCLL_2,NCLL_3,NCLL_4,NCLL_5,NCLL_6,CHURN
1250,0,47,67,2,9,9,9,10.75,13.6,15.45,39.8,0,0,0,12.58,26.27,33.27,0,0,0,0,2,1,1
1251,1,70,7549,1,18.5,18,17.5,24.82,28.64,25.5,450.96,48.58,56.88,27.48,81.18,77.82,96.97,1,1,1,1,2,0,0
1252,1,43,413,1,34.25,45,29.75,38.21,28.72,28,383.43,121.67,148.73,140.5,146.81,101.37,96.83,2,9,1,2,1,1,0
1253,1,46,4090,1,28.25,60.5,37.75,42.14,50.72,54.75,632.36,84.82,179.43,103.23,147.32,152.1,149.38,7,12,11,11,19,21,0
1254,1,47,4601,1,27.5,27.5,39.25,37.59,27.06,21.5,559.65,89.91,104.06,108.4,103.61,88.13,51.32,3,8,8,11,5,2,0
1255,1,71,8273,1,60.25,53,62,61.94,46.04,28.25,866.98,399.6,363.06,424.6,428.19,299.06,159.76,0,0,0,0,0,0,0
1256,1,45,1082,2,33.5,9.5,24.25,26.95,20.3,34.51,386.26,21.19,80.17,104.79,142.25,67.06,192.83,1,2,2,2,0,7,1
1257,1,25,2137,1,18.75,18,20.75,19.71,16.75,16.75,332.21,34.77,25.3,43.74,43.19,19.26,23.85,3,1,4,2,2,4,0
1258,1,46,63,2,9,9,9,9,33.29,40.01,81.55,0,0,0,1.73,146.35,230.9,0,0,0,0,0,0,1
1259,0,52,2642,2,9,9,9,24.15,49.37,42.5,236.27,0,0,0,1433.47,2535.12,1992.4,0,0,0,0,0,0,0
